"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "XML", "TypeScript JSX", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\hp\Desktop\react-terminal\README.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\hp\Desktop\react-terminal\example\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\hp\Desktop\react-terminal\example\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 9, 28
"c:\Users\hp\Desktop\react-terminal\example\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\hp\Desktop\react-terminal\example\package.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\hp\Desktop\react-terminal\example\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\hp\Desktop\react-terminal\example\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\react-terminal\example\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 125, 0, 0, 0, 2, 9, 136
"c:\Users\hp\Desktop\react-terminal\example\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\hp\Desktop\react-terminal\example\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 2, 15
"c:\Users\hp\Desktop\react-terminal\example\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 2, 10
"c:\Users\hp\Desktop\react-terminal\example\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\hp\Desktop\react-terminal\example\tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\hp\Desktop\react-terminal\example\tsconfig.node.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\hp\Desktop\react-terminal\example\vite.config.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\hp\Desktop\react-terminal\package.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\hp\Desktop\react-terminal\src\@types\Commands.d.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\hp\Desktop\react-terminal\src\@types\Exchange.d.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\hp\Desktop\react-terminal\src\@types\Theme.d.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 1, 10
"c:\Users\hp\Desktop\react-terminal\src\@types\use-caret-position.d.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\hp\Desktop\react-terminal\src\commandProcessors\CommandProcessor.ts", "TypeScript", 0, 0, 0, 345, 0, 0, 0, 0, 0, 20, 3, 368
"c:\Users\hp\Desktop\react-terminal\src\commandProcessors\InBuiltCommandsProcessors.ts", "TypeScript", 0, 0, 0, 182, 0, 0, 0, 0, 0, 1, 10, 193
"c:\Users\hp\Desktop\react-terminal\src\components\CliLoader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 8, 33
"c:\Users\hp\Desktop\react-terminal\src\components\ExchangeHistory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 6, 68
"c:\Users\hp\Desktop\react-terminal\src\components\InputField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 173, 0, 0, 0, 20, 15, 208
"c:\Users\hp\Desktop\react-terminal\src\components\Prompt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 3, 45
"c:\Users\hp\Desktop\react-terminal\src\components\Terminal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 0, 5, 13, 141
"c:\Users\hp\Desktop\react-terminal\src\components\TopBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 4, 53
"c:\Users\hp\Desktop\react-terminal\src\contexts\TerminalContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 11, 57
"c:\Users\hp\Desktop\react-terminal\src\errors\Errors.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 0, 1, 11, 85
"c:\Users\hp\Desktop\react-terminal\src\errors\constants.ts", "TypeScript", 0, 0, 0, 1667, 0, 0, 0, 0, 0, 0, 3, 1670
"c:\Users\hp\Desktop\react-terminal\src\hooks\UseCaretPosition.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 10, 45
"c:\Users\hp\Desktop\react-terminal\src\hooks\UseExchange.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 4, 27
"c:\Users\hp\Desktop\react-terminal\src\hooks\UsePrediction.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 9, 36
"c:\Users\hp\Desktop\react-terminal\src\hooks\UseTheme.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\hp\Desktop\react-terminal\src\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 2, 7
"c:\Users\hp\Desktop\react-terminal\src\styles\ExchangeStyles.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\hp\Desktop\react-terminal\src\styles\PredictionStyles.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\hp\Desktop\react-terminal\src\styles\PromptStyles.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 4, 29
"c:\Users\hp\Desktop\react-terminal\src\styles\TerminalStyles.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 3, 10, 74
"c:\Users\hp\Desktop\react-terminal\src\styles\TopBarStyles.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 2, 8, 46
"c:\Users\hp\Desktop\react-terminal\src\themes\Themes.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 2, 30
"c:\Users\hp\Desktop\react-terminal\src\utils\Utils.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 0, 0, 0, 5, 12, 102
"c:\Users\hp\Desktop\react-terminal\tsconfig.json", "JSON with Comments", 0, 13, 0, 0, 0, 0, 0, 0, 0, 83, 9, 105
"Total", "-", 75, 34, 47, 2500, 2, 817, 10, 13, 18, 165, 213, 3894